ZoneID,StartTime,SurgeMultiplier
18,2014-04-28 00:00:00,2.14
90,2014-04-10 01:00:00,1.64
97,2014-04-14 00:00:00,2.94
72,2014-04-21 23:00:00,3.47
51,2014-04-27 23:00:00,3.45
48,2014-04-24 06:00:00,1.83
105,2014-04-14 22:00:00,1.54
90,2014-04-23 15:00:00,2.6
67,2014-04-05 06:00:00,2.53
115,2014-04-03 15:00:00,2.56
2,2014-04-26 20:00:00,1.57
27,2014-04-26 16:00:00,2.66
106,2014-04-04 08:00:00,2.41
76,2014-04-11 14:00:00,2.28
98,2014-04-14 15:00:00,1.42
100,2014-04-30 10:00:00,3.14
109,2014-04-09 03:00:00,1.53
36,2014-04-13 19:00:00,1.12
100,2014-04-18 20:00:00,2.49
3,2014-04-24 11:00:00,2.45
30,2014-04-15 10:00:00,2.38
41,2014-04-26 13:00:00,3.07
49,2014-04-17 02:00:00,1.19
28,2014-04-08 13:00:00,2.29
38,2014-04-23 13:00:00,2.1
112,2014-04-17 04:00:00,1.44
98,2014-04-28 00:00:00,2.02
114,2014-04-11 08:00:00,1.51
27,2014-04-20 05:00:00,1.64
70,2014-04-05 09:00:00,1.71
24,2014-04-19 11:00:00,3.38
21,2014-04-06 06:00:00,1.15
31,2014-04-15 21:00:00,1.52
56,2014-04-21 03:00:00,2.81
25,2014-04-26 06:00:00,2.32
40,2014-04-20 21:00:00,1.82
105,2014-04-01 16:00:00,2.64
39,2014-04-18 01:00:00,2.24
10,2014-04-12 09:00:00,2.36
21,2014-04-04 07:00:00,1.76
47,2014-04-29 13:00:00,2.01
74,2014-04-05 06:00:00,1.31
60,2014-04-20 13:00:00,2.34
6,2014-04-28 16:00:00,2.13
67,2014-04-09 04:00:00,1.74
26,2014-04-27 05:00:00,2.11
61,2014-04-14 05:00:00,2.27
64,2014-04-27 21:00:00,1.27
107,2014-04-29 01:00:00,2.92
85,2014-04-30 01:00:00,2.36
29,2014-04-08 04:00:00,3.34
119,2014-04-07 02:00:00,3.26
54,2014-04-24 10:00:00,1.3
98,2014-04-10 17:00:00,3.17
99,2014-04-18 09:00:00,3.2
71,2014-04-07 22:00:00,2.21
49,2014-04-19 01:00:00,2.37
73,2014-04-17 12:00:00,1.92
85,2014-04-11 15:00:00,2.24
118,2014-04-11 23:00:00,3.4
76,2014-04-27 10:00:00,3.05
99,2014-04-04 22:00:00,2.73
28,2014-04-13 13:00:00,2.77
37,2014-04-25 04:00:00,2.7
45,2014-04-29 20:00:00,1.39
96,2014-04-08 18:00:00,3.04
20,2014-04-18 01:00:00,3.47
86,2014-04-13 10:00:00,1.58
33,2014-04-24 10:00:00,2.58
77,2014-04-22 09:00:00,1.44
100,2014-04-08 16:00:00,2.44
80,2014-04-01 07:00:00,3.1
69,2014-04-26 23:00:00,1.92
48,2014-04-11 23:00:00,3.31
13,2014-04-08 13:00:00,2.3
109,2014-04-11 18:00:00,1.5
57,2014-04-18 20:00:00,2.11
7,2014-04-21 06:00:00,1.12
62,2014-04-23 21:00:00,3.31
78,2014-04-20 17:00:00,1.27
42,2014-04-24 14:00:00,2.31
74,2014-04-29 12:00:00,2.28
119,2014-04-08 18:00:00,1.47
118,2014-04-11 12:00:00,1.15
84,2014-04-20 12:00:00,3.41
70,2014-04-25 09:00:00,1.63
68,2014-04-10 23:00:00,2.54
30,2014-04-02 01:00:00,2.86
111,2014-04-29 18:00:00,2.68
49,2014-04-01 01:00:00,2.86
68,2014-04-20 18:00:00,2.32
84,2014-04-23 13:00:00,1.54
92,2014-04-13 15:00:00,2.34
83,2014-04-17 15:00:00,1.44
84,2014-04-04 10:00:00,1.83
39,2014-04-13 04:00:00,1.93
1,2014-04-12 20:00:00,2.65
8,2014-04-13 17:00:00,1.92
84,2014-04-28 17:00:00,2.35
67,2014-04-30 13:00:00,1.17
91,2014-04-18 10:00:00,3.5
4,2014-04-07 00:00:00,2.79
24,2014-04-15 03:00:00,3.48
93,2014-04-11 11:00:00,2.13
33,2014-04-23 11:00:00,1.4
17,2014-04-16 14:00:00,1.34
8,2014-04-02 20:00:00,2.96
73,2014-04-27 23:00:00,2.02
116,2014-04-06 06:00:00,2.32
4,2014-04-28 08:00:00,2.67
22,2014-04-27 18:00:00,1.58
92,2014-04-22 07:00:00,2.68
94,2014-04-27 23:00:00,2.46
36,2014-04-20 15:00:00,1.22
95,2014-04-12 15:00:00,3.49
101,2014-04-12 08:00:00,3.45
75,2014-04-09 03:00:00,2.84
44,2014-04-29 05:00:00,1.15
31,2014-04-23 00:00:00,3.36
19,2014-04-21 09:00:00,2.86
52,2014-04-28 21:00:00,2.82
61,2014-04-04 21:00:00,1.83
43,2014-04-08 02:00:00,3.09
62,2014-04-19 22:00:00,1.32
32,2014-04-28 13:00:00,1.38
8,2014-04-24 08:00:00,1.82
87,2014-04-14 11:00:00,2.6
66,2014-04-15 02:00:00,2.45
79,2014-04-09 00:00:00,1.67
43,2014-04-21 22:00:00,2.84
98,2014-04-08 19:00:00,2.97
70,2014-04-14 23:00:00,2.7
81,2014-04-24 16:00:00,2.81
72,2014-04-10 11:00:00,1.49
54,2014-04-24 11:00:00,1.13
22,2014-04-19 18:00:00,2.59
67,2014-04-09 05:00:00,2.15
60,2014-04-10 18:00:00,1.66
77,2014-04-07 22:00:00,1.28
47,2014-04-03 12:00:00,1.15
25,2014-04-06 15:00:00,3.45
36,2014-04-17 04:00:00,1.52
82,2014-04-12 03:00:00,1.75
4,2014-04-10 17:00:00,1.75
64,2014-04-18 11:00:00,2.56
37,2014-04-25 19:00:00,1.98
107,2014-04-10 07:00:00,2.4
57,2014-04-10 22:00:00,2.12
103,2014-04-20 12:00:00,2.87
25,2014-04-20 19:00:00,3.01
13,2014-04-25 08:00:00,2.3
77,2014-04-26 07:00:00,2.93
5,2014-04-14 16:00:00,3.39
112,2014-04-16 19:00:00,2.09
108,2014-04-23 23:00:00,3.46
115,2014-04-17 10:00:00,2.7
15,2014-04-14 07:00:00,2.39
25,2014-04-28 06:00:00,2.65
6,2014-04-29 05:00:00,1.48
2,2014-04-12 18:00:00,1.55
78,2014-04-19 01:00:00,1.69
109,2014-04-08 16:00:00,3.18
2,2014-04-30 19:00:00,3.21
119,2014-04-14 05:00:00,2.51
61,2014-04-15 18:00:00,2.3
113,2014-04-28 10:00:00,1.57
104,2014-04-27 16:00:00,2.48
79,2014-04-09 13:00:00,1.58
11,2014-04-06 18:00:00,1.98
5,2014-04-23 04:00:00,2.1
12,2014-04-28 23:00:00,3.45
4,2014-04-27 11:00:00,3.44
41,2014-04-28 22:00:00,3.12
60,2014-04-22 17:00:00,2.48
38,2014-04-15 19:00:00,2.01
77,2014-04-21 19:00:00,1.58
77,2014-04-06 15:00:00,3.44
93,2014-04-04 16:00:00,2.78
68,2014-04-22 22:00:00,1.52
60,2014-04-12 19:00:00,2.59
5,2014-04-21 20:00:00,3.25
77,2014-04-19 01:00:00,1.97
83,2014-04-01 02:00:00,1.41
68,2014-04-07 21:00:00,2.66
47,2014-04-25 20:00:00,1.15
76,2014-04-16 01:00:00,1.63
104,2014-04-05 14:00:00,2.81
58,2014-04-22 11:00:00,2.33
45,2014-04-13 08:00:00,3.05
83,2014-04-27 22:00:00,1.95
66,2014-04-01 12:00:00,3.31
3,2014-04-21 12:00:00,1.99
117,2014-04-23 13:00:00,1.85
26,2014-04-21 00:00:00,2.28
116,2014-04-12 01:00:00,3.48
