TrackerID,FirmwareVersion,VehicleID
TRK-1001,v1.0.0,V-1001
TRK-1002,v2.0.1,V-1002
TRK-1003,v1.2.4,V-1003
TRK-1004,v1.0.0,V-1004
TRK-1005,v1.2.4,V-1005
TRK-1006,v1.0.0,V-1006
TRK-1007,v2.0.1,V-1007
TRK-1008,v1.0.0,V-1008
TRK-1009,v2.0.1,V-1009
TRK-1010,v1.2.4,V-1010
TRK-1011,v2.0.1,V-1011
TRK-1012,v2.0.1,V-1012
TRK-1013,v2.0.1,V-1013
TRK-1014,v1.2.4,V-1014
TRK-1015,v1.0.0,V-1015
TRK-1016,v1.0.0,V-1016
TRK-1017,v1.0.0,V-1017
TRK-1018,v2.0.1,V-1018
TRK-1019,v2.0.1,V-1019
TRK-1020,v1.2.4,V-1020
TRK-1021,v1.2.4,V-1021
TRK-1022,v2.0.1,V-1022
TRK-1023,v2.0.1,V-1023
TRK-1024,v2.0.1,V-1024
TRK-1025,v2.0.1,V-1025
TRK-1026,v1.2.4,V-1026
TRK-1027,v1.0.0,V-1027
TRK-1028,v1.2.4,V-1028
TRK-1029,v1.0.0,V-1029
TRK-1030,v2.0.1,V-1030
TRK-1031,v1.2.4,V-1031
TRK-1032,v1.0.0,V-1032
TRK-1033,v2.0.1,V-1033
TRK-1034,v1.0.0,V-1034
TRK-1035,v1.0.0,V-1035
TRK-1036,v1.2.4,V-1036
TRK-1037,v1.0.0,V-1037
TRK-1038,v1.0.0,V-1038
TRK-1039,v2.0.1,V-1039
TRK-1040,v1.2.4,V-1040
TRK-1041,v1.0.0,V-1041
TRK-1042,v1.2.4,V-1042
TRK-1043,v2.0.1,V-1043
TRK-1044,v1.2.4,V-1044
TRK-1045,v1.0.0,V-1045
TRK-1046,v1.0.0,V-1046
TRK-1047,v2.0.1,V-1047
TRK-1048,v2.0.1,V-1048
TRK-1049,v1.0.0,V-1049
TRK-1050,v2.0.1,V-1050
TRK-1051,v1.2.4,V-1051
TRK-1052,v2.0.1,V-1052
TRK-1053,v1.0.0,V-1053
TRK-1054,v1.2.4,V-1054
TRK-1055,v1.0.0,V-1055
TRK-1056,v1.2.4,V-1056
TRK-1057,v1.0.0,V-1057
TRK-1058,v1.2.4,V-1058
TRK-1059,v1.2.4,V-1059
TRK-1060,v2.0.1,V-1060
TRK-1061,v2.0.1,V-1061
TRK-1062,v1.0.0,V-1062
TRK-1063,v1.2.4,V-1063
TRK-1064,v1.0.0,V-1064
TRK-1065,v2.0.1,V-1065
TRK-1066,v1.0.0,V-1066
TRK-1067,v1.0.0,V-1067
TRK-1068,v1.2.4,V-1068
TRK-1069,v1.0.0,V-1069
TRK-1070,v1.0.0,V-1070
TRK-1071,v2.0.1,V-1071
TRK-1072,v2.0.1,V-1072
TRK-1073,v1.0.0,V-1073
TRK-1074,v1.2.4,V-1074
TRK-1075,v1.2.4,V-1075
TRK-1076,v1.0.0,V-1076
TRK-1077,v1.2.4,V-1077
TRK-1078,v1.0.0,V-1078
TRK-1079,v1.0.0,V-1079
TRK-1080,v1.2.4,V-1080
TRK-1081,v2.0.1,V-1081
TRK-1082,v2.0.1,V-1082
TRK-1083,v2.0.1,V-1083
TRK-1084,v2.0.1,V-1084
TRK-1085,v1.2.4,V-1085
TRK-1086,v1.0.0,V-1086
TRK-1087,v1.2.4,V-1087
TRK-1088,v2.0.1,V-1088
TRK-1089,v1.2.4,V-1089
TRK-1090,v1.0.0,V-1090
TRK-1091,v2.0.1,V-1091
TRK-1092,v1.2.4,V-1092
TRK-1093,v1.0.0,V-1093
TRK-1094,v2.0.1,V-1094
TRK-1095,v1.0.0,V-1095
TRK-1096,v1.0.0,V-1096
TRK-1097,v1.0.0,V-1097
TRK-1098,v1.0.0,V-1098
TRK-1099,v2.0.1,V-1099
TRK-1100,v1.2.4,V-1100
TRK-1101,v2.0.1,V-1101
TRK-1102,v2.0.1,V-1102
TRK-1103,v1.2.4,V-1103
TRK-1104,v2.0.1,V-1104
TRK-1105,v1.2.4,V-1105
TRK-1106,v1.2.4,V-1106
TRK-1107,v1.0.0,V-1107
TRK-1108,v2.0.1,V-1108
TRK-1109,v1.2.4,V-1109
TRK-1110,v2.0.1,V-1110
TRK-1111,v2.0.1,V-1111
