TripID,PickupTime,DropoffTime,FareAmount,VehicleID,ZoneID
1,2014-04-01 00:11:00,2014-04-01 00:38:00,50.28,V-1049,108
2,2014-04-01 00:17:00,2014-04-01 00:40:00,29.67,V-1049,10
3,2014-04-01 00:21:00,2014-04-01 00:55:00,55.04,V-1049,38
4,2014-04-01 00:28:00,2014-04-01 01:11:00,38.64,V-1049,86
5,2014-04-01 00:33:00,2014-04-01 00:43:00,8.14,V-1049,42
6,2014-04-01 00:33:00,2014-04-01 00:45:00,14.02,V-1049,10
7,2014-04-01 00:39:00,2014-04-01 01:02:00,24.47,V-1049,20
8,2014-04-01 00:45:00,2014-04-01 01:17:00,30.28,V-1049,67
9,2014-04-01 00:55:00,2014-04-01 01:01:00,10.2,V-1049,107
10,2014-04-01 01:01:00,2014-04-01 01:40:00,18.29,V-1049,51
11,2014-04-01 01:19:00,2014-04-01 01:26:00,19.8,V-1049,77
12,2014-04-01 01:48:00,2014-04-01 02:14:00,17.52,V-1049,41
13,2014-04-01 01:49:00,2014-04-01 02:25:00,14.82,V-1049,25
14,2014-04-01 02:11:00,2014-04-01 02:34:00,60.04,V-1049,54
15,2014-04-01 02:25:00,2014-04-01 02:33:00,28.52,V-1049,101
16,2014-04-01 02:31:00,2014-04-01 02:43:00,17.48,V-1049,38
17,2014-04-01 02:43:00,2014-04-01 03:14:00,60.07,V-1049,62
18,2014-04-01 03:22:00,2014-04-01 03:34:00,35.47,V-1049,107
19,2014-04-01 03:35:00,2014-04-01 03:45:00,10.76,V-1049,37
20,2014-04-01 03:35:00,2014-04-01 04:13:00,50.42,V-1049,110
21,2014-04-01 03:41:00,2014-04-01 04:13:00,55.06,V-1049,60
22,2014-04-01 04:11:00,2014-04-01 04:32:00,11.3,V-1049,4
23,2014-04-01 04:15:00,2014-04-01 04:49:00,60.72,V-1049,54
24,2014-04-01 04:19:00,2014-04-01 04:36:00,61.95,V-1049,11
25,2014-04-01 04:20:00,2014-04-01 04:41:00,38.65,V-1049,12
26,2014-04-01 04:26:00,2014-04-01 04:59:00,63.79,V-1049,25
27,2014-04-01 04:27:00,2014-04-01 04:48:00,57.55,V-1049,88
28,2014-04-01 04:38:00,2014-04-01 04:57:00,32.49,V-1049,67
29,2014-04-01 04:47:00,2014-04-01 05:09:00,9.02,V-1049,84
30,2014-04-01 04:49:00,2014-04-01 05:02:00,36.21,V-1049,93
31,2014-04-01 05:08:00,2014-04-01 05:22:00,31.49,V-1049,49
32,2014-04-01 05:12:00,2014-04-01 05:23:00,50.85,V-1049,56
33,2014-04-01 05:18:00,2014-04-01 05:54:00,14.61,V-1049,17
34,2014-04-01 05:19:00,2014-04-01 05:42:00,27.33,V-1049,111
35,2014-04-01 05:23:00,2014-04-01 06:07:00,46.82,V-1049,85
36,2014-04-01 05:24:00,2014-04-01 05:54:00,43.45,V-1049,65
37,2014-04-01 05:24:00,2014-04-01 05:32:00,29.58,V-1049,112
38,2014-04-01 05:27:00,2014-04-01 05:50:00,14.75,V-1049,91
39,2014-04-01 05:34:00,2014-04-01 06:07:00,51.72,V-1049,31
40,2014-04-01 05:36:00,2014-04-01 06:00:00,29.9,V-1049,8
41,2014-04-01 05:36:00,2014-04-01 05:47:00,44.94,V-1049,80
42,2014-04-01 05:40:00,2014-04-01 06:01:00,9.34,V-1049,94
43,2014-04-01 05:43:00,2014-04-01 06:23:00,34.42,V-1049,59
44,2014-04-01 05:44:00,2014-04-01 05:51:00,64.7,V-1049,20
45,2014-04-01 05:44:00,2014-04-01 05:54:00,29.02,V-1049,99
46,2014-04-01 05:49:00,2014-04-01 06:16:00,64.02,V-1049,96
47,2014-04-01 05:49:00,2014-04-01 06:27:00,52.78,V-1049,112
48,2014-04-01 05:52:00,2014-04-01 06:20:00,59.93,V-1049,56
49,2014-04-01 05:52:00,2014-04-01 06:35:00,12.08,V-1049,11
50,2014-04-01 05:53:00,2014-04-01 06:07:00,29.0,V-1049,35
51,2014-04-01 05:54:00,2014-04-01 06:38:00,31.17,V-1049,89
52,2014-04-01 05:56:00,2014-04-01 06:30:00,38.02,V-1049,112
53,2014-04-01 05:56:00,2014-04-01 06:03:00,42.05,V-1049,116
54,2014-04-01 05:58:00,2014-04-01 06:26:00,51.13,V-1049,3
55,2014-04-01 06:00:00,2014-04-01 06:14:00,12.6,V-1049,112
56,2014-04-01 06:01:00,2014-04-01 06:41:00,14.98,V-1049,30
57,2014-04-01 06:02:00,2014-04-01 06:46:00,12.59,V-1049,56
58,2014-04-01 06:03:00,2014-04-01 06:13:00,56.43,V-1049,14
59,2014-04-01 06:06:00,2014-04-01 06:28:00,36.71,V-1049,9
60,2014-04-01 06:08:00,2014-04-01 06:28:00,32.03,V-1049,42
61,2014-04-01 06:08:00,2014-04-01 06:42:00,35.67,V-1049,34
62,2014-04-01 06:14:00,2014-04-01 06:48:00,16.39,V-1049,68
63,2014-04-01 06:14:00,2014-04-01 06:49:00,56.99,V-1049,37
64,2014-04-01 06:15:00,2014-04-01 06:49:00,16.15,V-1049,41
