VehicleID,LicensePlate,BaseCode
V-1001,TLC-1001,B9056
V-1002,TLC-1002,B9025
V-1003,TLC-1003,B9109
V-1004,TLC-1004,B9092
V-1005,TLC-1005,B9013
V-1006,TLC-1006,B9093
V-1007,TLC-1007,B9013
V-1008,TLC-1008,B9075
V-1009,TLC-1009,B9036
V-1010,TLC-1010,B9073
V-1011,TLC-1011,B9100
V-1012,TLC-1012,B9074
V-1013,TLC-1013,B9077
V-1014,TLC-1014,B9040
V-1015,TLC-1015,B9057
V-1016,TLC-1016,B9026
V-1017,TLC-1017,B9063
V-1018,TLC-1018,B9071
V-1019,TLC-1019,B9083
V-1020,TLC-1020,B9074
V-1021,TLC-1021,B9035
V-1022,TLC-1022,B9032
V-1023,TLC-1023,B9047
V-1024,TLC-1024,B9040
V-1025,TLC-1025,B9068
V-1026,TLC-1026,B9079
V-1027,TLC-1027,B9036
V-1028,TLC-1028,B9089
V-1029,TLC-1029,B9092
V-1030,TLC-1030,B9039
V-1031,TLC-1031,B9007
V-1032,TLC-1032,B9077
V-1033,TLC-1033,B9033
V-1034,TLC-1034,B9025
V-1035,TLC-1035,B9079
V-1036,TLC-1036,B9038
V-1037,TLC-1037,B9062
V-1038,TLC-1038,B9105
V-1039,TLC-1039,B9031
V-1040,TLC-1040,B9022
V-1041,TLC-1041,B9003
V-1042,TLC-1042,B9021
V-1043,TLC-1043,B9073
V-1044,TLC-1044,B9001
V-1045,TLC-1045,B9085
V-1046,TLC-1046,B9099
V-1047,TLC-1047,B9037
V-1048,TLC-1048,B9004
V-1049,TLC-1049,B02512
V-1050,TLC-1050,B9037
V-1051,TLC-1051,B9020
V-1052,TLC-1052,B9105
V-1053,TLC-1053,B9065
V-1054,TLC-1054,B9014
V-1055,TLC-1055,B9035
V-1056,TLC-1056,B9092
V-1057,TLC-1057,B9036
V-1058,TLC-1058,B9003
V-1059,TLC-1059,B9008
V-1060,TLC-1060,B9057
V-1061,TLC-1061,B9033
V-1062,TLC-1062,B9086
V-1063,TLC-1063,B9040
V-1064,TLC-1064,B9019
V-1065,TLC-1065,B9048
V-1066,TLC-1066,B9003
V-1067,TLC-1067,B9108
V-1068,TLC-1068,B9006
V-1069,TLC-1069,B9067
V-1070,TLC-1070,B9099
V-1071,TLC-1071,B9019
V-1072,TLC-1072,B9035
V-1073,TLC-1073,B9103
V-1074,TLC-1074,B9062
V-1075,TLC-1075,B9109
V-1076,TLC-1076,B9031
V-1077,TLC-1077,B9049
V-1078,TLC-1078,B9053
V-1079,TLC-1079,B9097
V-1080,TLC-1080,B9041
V-1081,TLC-1081,B9002
V-1082,TLC-1082,B9019
V-1083,TLC-1083,B9047
V-1084,TLC-1084,B9038
V-1085,TLC-1085,B9067
V-1086,TLC-1086,B9093
V-1087,TLC-1087,B9096
V-1088,TLC-1088,B9013
V-1089,TLC-1089,B9107
V-1090,TLC-1090,B9049
V-1091,TLC-1091,B9074
V-1092,TLC-1092,B9011
V-1093,TLC-1093,B9099
V-1094,TLC-1094,B9068
V-1095,TLC-1095,B9073
V-1096,TLC-1096,B9053
V-1097,TLC-1097,B9106
V-1098,TLC-1098,B9064
V-1099,TLC-1099,B9034
V-1100,TLC-1100,B9065
V-1101,TLC-1101,B9109
V-1102,TLC-1102,B9047
V-1103,TLC-1103,B9033
V-1104,TLC-1104,B9003
V-1105,TLC-1105,B9076
V-1106,TLC-1106,B9103
V-1107,TLC-1107,B9008
V-1108,TLC-1108,B9012
V-1109,TLC-1109,B9043
V-1110,TLC-1110,B9088
V-1111,TLC-1111,B9084
V-1112,TLC-1112,B9001
V-1113,TLC-1113,B9002
V-1114,TLC-1114,B9082
V-1115,TLC-1115,B9086
V-1116,TLC-1116,B9109
V-1117,TLC-1117,B9087
V-1118,TLC-1118,B9107
V-1119,TLC-1119,B9059
V-1120,TLC-1120,B9053
V-1121,TLC-1121,B9068
V-1122,TLC-1122,B9016
V-1123,TLC-1123,B9076
V-1124,TLC-1124,B9048
V-1125,TLC-1125,B9066
V-1126,TLC-1126,B9017
V-1127,TLC-1127,B9063
V-1128,TLC-1128,B9074
V-1129,TLC-1129,B9010
V-1130,TLC-1130,B9071
V-1131,TLC-1131,B9070
V-1132,TLC-1132,B9048
V-1133,TLC-1133,B9103
V-1134,TLC-1134,B9098
V-1135,TLC-1135,B9072
V-1136,TLC-1136,B9103
V-1137,TLC-1137,B9070
V-1138,TLC-1138,B9038
V-1139,TLC-1139,B9009
V-1140,TLC-1140,B9090
V-1141,TLC-1141,B9022
V-1142,TLC-1142,B9005
V-1143,TLC-1143,B9009
V-1144,TLC-1144,B9042
V-1145,TLC-1145,B9028
V-1146,TLC-1146,B9013
V-1147,TLC-1147,B9006
V-1148,TLC-1148,B9046
V-1149,TLC-1149,B9031
