ZoneID,Borough
1,Bronx
2,Bronx
3,Queens
4,Brooklyn
5,Brooklyn
6,Brooklyn
7,Brooklyn
8,Queens
9,Manhattan
10,Bronx
11,Queens
12,Queens
13,Queens
14,Brooklyn
15,Manhattan
16,Bronx
17,Bronx
18,Manhattan
19,Brooklyn
20,Manhattan
21,Bronx
22,Manhattan
23,Bronx
24,Queens
25,Manhattan
26,Queens
27,Manhattan
28,Bronx
29,Bronx
30,Queens
31,Brooklyn
32,Brooklyn
33,Brooklyn
34,Bronx
35,Brooklyn
36,Brooklyn
37,Queens
38,Bronx
39,Queens
40,Brooklyn
41,Brooklyn
42,Brooklyn
43,Queens
44,Bronx
45,Brooklyn
46,Bronx
47,Bronx
48,Bronx
49,Bronx
50,Bronx
51,Queens
52,Queens
53,Manhattan
54,Queens
55,Bronx
56,Brooklyn
57,Queens
58,Queens
59,Manhattan
60,Manhattan
61,Queens
62,Queens
63,Queens
64,Brooklyn
65,Queens
66,Brooklyn
67,Brooklyn
68,Queens
69,Manhattan
70,Brooklyn
71,Manhattan
72,Brooklyn
73,Manhattan
74,Queens
75,Queens
76,Bronx
77,Bronx
78,Brooklyn
79,Brooklyn
80,Brooklyn
81,Bronx
82,Queens
83,Bronx
84,Queens
85,Manhattan
86,Brooklyn
87,Manhattan
88,Bronx
89,Manhattan
90,Bronx
91,Manhattan
92,Bronx
93,Brooklyn
94,Bronx
95,Bronx
96,Queens
97,Bronx
98,Queens
99,Manhattan
100,Brooklyn
101,Bronx
102,Bronx
103,Bronx
104,Bronx
105,Queens
106,Queens
107,Queens
108,Bronx
109,Brooklyn
110,Queens
111,Manhattan
112,Brooklyn
113,Manhattan
114,Queens
115,Brooklyn
116,Bronx
117,Manhattan
118,Bronx
119,Queens
